"name"|"offerID"
"Lenovo IdeaPad 330-15ARR 81D200AMUS 15.6in LCD Notebook"|"antonline_535"
"ASUS - ASUSPRO P2540UB 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX110 - 256GB Solid State Drive - Black"|"bestbuy_299"
"Lenovo 81EU000HUS 530S-14IKB 14&ampquot Laptop Intel Core i5 8GB Memory 128GB Solid State Drive Onyx Black "|"truecurate_347"
"Lenovo 80X50003US 15.6&ampquot Laptop Intel Core i5 8GB Memory NVIDIA GeForce 920MX 1TB Hard Drive Platinum silver "|"truecurate_48"
"Lenovo?330-15ICH 81FK - Core i7 8750H / 2.2 GHz - Win 10 Home 64-bit - 12 GB RAM - 1 TB HDD (16 GB SSD cache) - 15.6in TN 1920 x 1080 (Full HD) - GF GTX 1050 / UHD Graphics 630 - Wi-Fi Bluetooth - onyx black?(81FK009UUS)"|"macmall_520"
"Asus C302CA-DHM4 Flip 12.5&ampquot Touch-Screen Chromebook Intel Core m3 4GB Memory 64GB eMMC Flash Metallic gray "|"truecurate_329"
"HP Inc.?Pavilion x360 15-cr0077nr - Flip design - 8th Gen Intel Core i5 8250U / 1.6 GHz - Windows 10 Home - 8 GB RAM - 256 GB SSD NVMe - 15.6in IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth?(3VQ45UAABA)"|"macmall_409"
"Microsoft?Surface Laptop 7th Gen Intel Core i7-7660U Dual-Core 2.5GHz 8GB RAM 256GB SSD 13.5in touchscreen 2256 x 1504 Intel Iris Plus Graphics 640 Wi-Fi Bluetooth Microsoft Windows 10 Pro - Burgundy kbd: English North America - commercial?(JKQ-00036)"|"pcmg_156"
"HP Inc.?ZBook 14u G5 8th Gen Intel Core i7-8650U 1.9GHz Workstation - 8GB RAM 256GB SSD  Z Turbo Drive NVMe 14in IPS Touchscreen 1920 x 1080 (Full HD) Radeon Pro WX 3100 / HD Graphics 620 WiFi Bluetooth Microsoft Windows 10 Pro 64-bit - Turbo Silver?(3YE09UTABA)"|"pcmg_672"
"Lenovo Flex 5 15.6in Core i7 8550U 8GB RAM 256GB SSD 2-in-1 Laptop - 81CA000UUS"|"buydig_66"
